year,se,department,cases,casos acumulados,población,incidencia_x_100milHab,casos_estandarizados,estacion_met,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4
2023,1,Beni,438,438,516338,84.83,84.83,San Ramón Aeropuerto,7.675,31.466667,21,0.734,25.88
2023,2,Beni,580,1018,516338,112.42,112.33,San Ramón Aeropuerto,.2,33.016667,23.5,0.729,25.88
2023,3,Beni,519,1537,516338,100.71,100.52,San Ramón Aeropuerto,21.2,32.16,21.825,0.735,25.88
2023,4,Beni,792,2329,516338,153.85,153.39,San Ramón Aeropuerto,.3,33.32,23.6,0.735,25.88
2023,5,Beni,766,3095,516338,149.02,148.35,San Ramón Aeropuerto,3.76,30.766667,22.72,0.74,26.29
2023,6,Beni,751,3846,516338,146.32,145.45,San Ramón Aeropuerto,12.475,31.3,23.1,0.723,26.29
2023,7,Beni,953,4799,516338,185.95,184.57,San Ramón Aeropuerto,0,32.516667,23.52,0.723,26.29
2023,8,Beni,522,5321,516338,102.05,101.10,San Ramón Aeropuerto,8.1333333,31.92,23.333333,0.745,26.29
2023,9,Beni,507,5828,516338,99.21,98.19,San Ramón Aeropuerto,.7,33.566667,23.633333,0.761,27.23
2023,10,Beni,577,6405,516338,113.02,111.75,San Ramón Aeropuerto,2.48,33.033333,23.88,0.765,27.23
2023,11,Beni,383,6788,516338,75.11,74.18,San Ramón Aeropuerto,7.95,31.56,22.5,0.765,27.23
2023,12,Beni,310,7098,516338,60.84,60.04,San Ramón Aeropuerto,20.82,30.266667,22,0.76,27.23
2023,13,Beni,282,7380,516338,55.38,54.62,San Ramón Aeropuerto,.88,33.333333,23.48,0.766,27.99
2023,14,Beni,206,7586,516338,40.47,39.90,San Ramón Aeropuerto,4.575,31.04,23.3,0.766,27.99
2023,15,Beni,210,7796,516338,41.28,40.67,San Ramón Aeropuerto,0,33.52,24.4,0.76,27.99
2023,16,Beni,173,7969,516338,34.02,33.51,San Ramón Aeropuerto,.9,32.56,22.88,0.773,27.99
2023,17,Beni,199,8168,516338,39.14,38.54,San Ramón Aeropuerto,0,34,22.6,0.776,27.99
2023,18,Beni,74,8242,516338,14.56,14.33,San Ramón Aeropuerto,0,31.56,20.2,0.776,28.35
2023,19,Beni,95,8337,516338,18.70,18.40,San Ramón Aeropuerto,0,29.533333,20.44,0.773,28.35
2023,20,Beni,99,8436,516338,19.49,19.17,San Ramón Aeropuerto,0,33.7,21.52,0.768,28.35
2023,21,Beni,98,8534,516338,19.30,18.98,San Ramón Aeropuerto,1.04,33.466667,22.66,0.768,28.35
2023,22,Beni,57,8591,516338,11.22,11.04,San Ramón Aeropuerto,4.55,27.266667,19.2,0.78,28.59
2023,23,Beni,36,8627,516338,7.09,6.97,San Ramón Aeropuerto,.875,33.6,21.333333,0.789,28.59
2023,24,Beni,45,8672,516338,8.86,8.72,San Ramón Aeropuerto,4.1,22.933333,12.64,0.789,28.59
2023,25,Beni,38,8710,516338,7.49,7.36,San Ramón Aeropuerto,0,32.2,17.65,0.778,28.59
2023,26,Beni,50,8760,516338,9.85,9.68,San Ramón Aeropuerto,0,34.2,19.7,0.752,28.37
2023,27,Beni,25,8785,516338,4.93,4.84,San Ramón Aeropuerto,0,34.75,19.5,0.752,28.37
2023,28,Beni,33,8818,516338,6.50,6.39,San Ramón Aeropuerto,0,33.866667,19.44,0.717,28.37
2023,29,Beni,29,8847,516338,5.71,5.62,San Ramón Aeropuerto,0,32.366667,16.64,0.683,28.37
2023,30,Beni,37,8884,516338,7.29,7.17,San Ramón Aeropuerto,0,34.64,18.3,0.645,28.37
2023,31,Beni,21,8905,516338,4.14,4.07,San Ramón Aeropuerto,0,36.7,18,0.645,28.2
2023,32,Beni,17,8922,516338,3.35,3.29,San Ramón Aeropuerto,0,36.84,17.2,0.596,28.2
2023,33,Beni,21,8943,516338,4.14,4.07,San Ramón Aeropuerto,9.3,33.633333,22.675,0.56,28.2
2023,34,Beni,4,8947,516338,0.79,0.77,San Ramón Aeropuerto,0,     37.9,20.75,0.56,28.2
2023,35,Beni,20,8967,516338,3.94,3.87,San Ramón Aeropuerto,0,35.933333,22.08,0.547,28.29
2023,36,Beni,39,9006,516338,7.69,7.55,San Ramón Aeropuerto,0,     37.5,21.28,0.554,28.29
