year,se,cases,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4,cases_avg_2w
2023.0,2.0,580.0,0.2,33.016667,23.5,0.729,25.88,509.0
2023.0,3.0,519.0,21.2,32.16,21.825,0.735,25.88,549.5
2023.0,4.0,792.0,0.3,33.32,23.6,0.735,25.88,655.5
2023.0,5.0,766.0,3.76,30.766667,22.72,0.74,26.29,779.0
2023.0,6.0,751.0,12.475,31.3,23.1,0.723,26.29,758.5
2023.0,7.0,953.0,0.0,32.516667,23.52,0.723,26.29,852.0
2023.0,8.0,522.0,8.1333333,31.92,23.333333,0.745,26.29,737.5
2023.0,9.0,507.0,0.7,33.566667,23.633333,0.761,27.23,514.5
2023.0,10.0,577.0,2.48,33.033333,23.88,0.765,27.23,542.0
2023.0,11.0,383.0,7.95,31.56,22.5,0.765,27.23,480.0
2023.0,12.0,310.0,20.82,30.266667,22.0,0.76,27.23,346.5
2023.0,13.0,282.0,0.88,33.333333,23.48,0.766,27.99,296.0
2023.0,14.0,206.0,4.575,31.04,23.3,0.766,27.99,244.0
2023.0,15.0,210.0,0.0,33.52,24.4,0.76,27.99,208.0
2023.0,16.0,173.0,0.9,32.56,22.88,0.773,27.99,191.5
2023.0,17.0,199.0,0.0,34.0,22.6,0.776,27.99,186.0
2023.0,18.0,74.0,0.0,31.56,20.2,0.776,28.35,136.5
2023.0,19.0,95.0,0.0,29.533333,20.44,0.773,28.35,84.5
2023.0,20.0,99.0,0.0,33.7,21.52,0.768,28.35,97.0
2023.0,21.0,98.0,1.04,33.466667,22.66,0.768,28.35,98.5
2023.0,22.0,57.0,4.55,27.266667,19.2,0.78,28.59,77.5
2023.0,23.0,36.0,0.875,33.6,21.333333,0.789,28.59,46.5
2023.0,24.0,45.0,4.1,22.933333,12.64,0.789,28.59,40.5
2023.0,25.0,38.0,0.0,32.2,17.65,0.778,28.59,41.5
2023.0,26.0,50.0,0.0,34.2,19.7,0.752,28.37,44.0
2023.0,27.0,25.0,0.0,34.75,19.5,0.752,28.37,37.5
2023.0,28.0,33.0,0.0,33.866667,19.44,0.717,28.37,29.0
2023.0,29.0,29.0,0.0,32.366667,16.64,0.683,28.37,31.0
2023.0,30.0,37.0,0.0,34.64,18.3,0.645,28.37,33.0
2023.0,31.0,21.0,0.0,36.7,18.0,0.645,28.2,29.0
2023.0,32.0,17.0,0.0,36.84,17.2,0.596,28.2,19.0
2023.0,33.0,21.0,9.3,33.633333,22.675,0.56,28.2,19.0
2023.0,34.0,4.0,0.0,37.9,20.75,0.56,28.2,12.5
2023.0,35.0,20.0,0.0,35.933333,22.08,0.547,28.29,12.0
2023.0,36.0,39.0,0.0,37.5,21.28,0.554,28.29,29.5
2023.0,37.0,30.0,4.5,35.85,21.8,0.554,28.29,34.5
2023.0,38.0,25.0,0.0,37.72,21.3,0.584,28.29,27.5
2023.0,1.0,21.0,1.2,18.485714,18.485714,0.659,25.88,23.0
2023.0,2.0,21.0,0.78571429,20.671429,20.671429,0.68,25.88,21.0
2023.0,3.0,46.0,0.16666667,21.883333,21.883333,0.691,25.88,33.5
2023.0,4.0,75.0,3.6166667,20.857143,20.857143,0.691,25.88,60.5
2023.0,5.0,132.0,7.1666667,16.771429,16.771429,0.71,26.29,103.5
2023.0,6.0,199.0,10.36,16.7,16.7,0.709,26.29,165.5
2023.0,7.0,207.0,5.9857143,19.028571,19.028571,0.709,26.29,203.0
2023.0,8.0,234.0,0.0,20.0,20.0,0.713,26.29,220.5
2023.0,9.0,277.0,3.6857143,20.014286,20.014286,0.719,27.23,255.5
2023.0,10.0,387.0,2.1,20.757143,20.757143,0.716,27.23,332.0
2023.0,11.0,440.0,3.7142857,19.066667,19.066667,0.716,27.23,413.5
2023.0,12.0,413.0,2.05,18.171429,18.171429,0.706,27.23,426.5
2023.0,13.0,331.0,10.671429,18.871429,18.871429,0.694,27.99,372.0
2023.0,14.0,386.0,0.72857143,18.471429,18.471429,0.694,27.99,358.5
2023.0,15.0,410.0,0.14285714,21.05,21.05,0.681,27.99,398.0
2023.0,16.0,319.0,0.0,21.433333,21.433333,0.691,27.99,364.5
2023.0,17.0,257.0,0.0,21.35,21.35,0.691,27.99,288.0
2023.0,18.0,190.0,0.2,20.314286,20.314286,0.691,28.35,223.5
2023.0,19.0,192.0,0.0,19.714286,19.714286,0.677,28.35,191.0
2023.0,20.0,109.0,0.0,21.885714,21.885714,0.659,28.35,150.5
2023.0,21.0,91.0,0.0,21.5,21.5,0.659,28.35,100.0
2023.0,22.0,83.0,0.0,20.942857,20.942857,0.63,28.59,87.0
2023.0,23.0,70.0,0.0,21.416667,21.416667,0.603,28.59,76.5
2023.0,24.0,34.0,0.0,15.642857,15.642857,0.603,28.59,52.0
2023.0,25.0,18.0,0.0,21.228571,21.228571,0.586,28.59,26.0
2023.0,26.0,12.0,0.0,20.785714,20.785714,0.573,28.37,15.0
2023.0,27.0,7.0,0.0,23.471429,23.471429,0.573,28.37,9.5
2023.0,28.0,7.0,0.0,21.757143,21.757143,0.547,28.37,7.0
2023.0,29.0,4.0,0.0,22.257143,22.257143,0.527,28.37,5.5
2023.0,30.0,4.0,0.0,20.4,20.4,0.496,28.37,4.0
2023.0,31.0,6.0,0.0,21.771429,21.771429,0.496,28.2,5.0
2023.0,32.0,6.0,0.0,19.885714,19.885714,0.47,28.2,6.0
2023.0,33.0,4.0,0.0,22.542857,22.542857,0.438,28.2,5.0
2023.0,34.0,3.0,0.0,23.471429,23.471429,0.438,28.2,3.5
2023.0,35.0,2.0,0.0,23.928571,23.928571,0.424,28.29,2.5
2023.0,36.0,11.0,0.0,22.042857,22.042857,0.422,28.29,6.5
2023.0,37.0,6.0,0.0,23.914286,23.914286,0.422,28.29,8.5
2023.0,38.0,8.0,0.02857143,23.914286,23.914286,0.427,28.29,7.0
2023.0,1.0,8.0,3.2428571,11.59,2.6628571,0.585,25.88,8.0
2023.0,2.0,23.0,2.4857143,13.382857,1.7357143,0.613,25.88,15.5
2023.0,3.0,31.0,1.5285714,12.854286,0.60857143,0.639,25.88,27.0
2023.0,4.0,69.0,1.1428571,13.844286,2.9785714,0.639,25.88,50.0
2023.0,5.0,111.0,4.6428571,8.7742857,2.06,0.649,26.29,90.0
2023.0,6.0,160.0,8.0428571,9.2614286,2.0357143,0.651,26.29,135.5
2023.0,7.0,176.0,7.5428571,11.285714,2.2757143,0.651,26.29,168.0
2023.0,8.0,178.0,1.4142857,11.837143,2.1857143,0.643,26.29,177.0
2023.0,9.0,228.0,1.4571429,12.318571,2.5771429,0.648,27.23,203.0
2023.0,10.0,280.0,1.9142857,11.757143,2.4842857,0.656,27.23,254.0
2023.0,11.0,231.0,2.1571429,10.084286,1.7485714,0.656,27.23,255.5
2023.0,12.0,203.0,2.1857143,7.7257143,2.4385714,0.656,27.23,217.0
2023.0,13.0,244.0,4.3714286,9.6014286,1.1328571,0.66,27.99,223.5
2023.0,14.0,169.0,2.8571429,10.484286,0.63,0.66,27.99,206.5
2023.0,15.0,158.0,0.72857143,11.48,1.6871429,0.652,27.99,163.5
2023.0,16.0,126.0,0.0,13.344286,1.16,0.651,27.99,142.0
2023.0,17.0,129.0,0.0,13.76,-0.21571429,0.643,27.99,127.5
2023.0,18.0,63.0,3.2285714,10.837143,1.54,0.643,28.35,96.0
2023.0,19.0,55.0,1.8,9.9242857,0.54285714,0.624,28.35,59.0
2023.0,20.0,40.0,0.0,12.32,0.85285714,0.599,28.35,47.5
2023.0,21.0,20.0,0.0,11.461429,0.36571429,0.599,28.35,30.0
2023.0,22.0,19.0,0.48571429,11.95,-0.52,0.588,28.59,19.5
2023.0,23.0,17.0,0.0,12.087143,-0.99571429,0.577,28.59,18.0
2023.0,24.0,8.0,0.0,10.165714,-1.6042857,0.577,28.59,12.5
2023.0,25.0,6.0,0.0,11.281429,-0.42142857,0.57,28.59,7.0
2023.0,26.0,6.0,0.0,12.811429,-1.8928571,0.562,28.37,6.0
2023.0,27.0,11.0,0.0,15.992857,3.23,0.562,28.37,8.5
2023.0,28.0,10.0,0.0,13.845714,0.79428571,0.538,28.37,10.5
2023.0,29.0,13.0,0.0,13.758571,1.4514286,0.526,28.37,11.5
2023.0,30.0,13.0,0.05714286,10.491429,-0.69,0.519,28.37,13.0
